Butyrate_abu	rf_pred
51755.13677	1
25956.77716	2
52575.37984	1
37882.70719	1
44940.05391	1
80844.9319	2
49532.00034	1
11940.08297	1
30605.30196	1
19616.35055	1
14814.04438	1
54913.9194	1
5991.511614	1
17594.70645	1
28731.94047	1
21200.6638	1
25614.14459	2
73499.25768	1
28222.11204	1
13741.03035	2
7594.205697	2
28451.15796	1
61479.30776	1
70913.86355	1
24506.9468	2
37457.79886	1
22946.02155	1
29162.64244	1
39206.13103	1
85815.45065	1
31371.64131	2
22566.73931	1
14377.70503	1
42721.20001	1
34793.39958	2
25111.08155	1
29035.19102	2
83066.56033	1
63597.16976	1
57831.84825	2
86670.7573	1
13658.72481	2
14671.32713	2
8783.743324	2
46850.70908	2
0	1
73765.13574	1
40519.29502	1
42601.65433	1
35787.64457	1
96810.71084	1
28278.50942	2
24281.87881	1
27389.6866	1
9650.340507	1
25010.20278	1
49290.44406	1
21121.18784	2
74438.64879	1
15414.40765	1
29404.70137	1
35147.02112	1
47591.70839	2
28606.97509	1
32159.68142	1
13190.74589	2
47800.16742	2
19148.11582	1
34333.8921	1
22323.7156	1
6544.381018	2
75192.54843	1
18216.26402	1
33388.23594	2
36339.6721	1
14740.39823	1
38698.84968	1
39400.66275	1
25726.52565	2
21519.3039	1
76476.73917	1
11370.48558	2
50513.36671	1
82699.98672	1
32872.40311	1
44850.26173	2
98893.63989	1
72240.78863	1
24844.65922	1
35394.58872	1
54998.3531	1
57025.76831	1
94014.76707	1
6852.708757	2
55753.38061	1
39436.30697	1
26966.57638	1
27267.93996	1
16836.42462	2
41801.14679	1
53756.91476	1
124875.1148	1
4880.428826	1
72655.58075	2
11433.40688	2
110978.1861	1
41613.5269	2
23941.80507	2
89874.56336	1
106432.0277	2
38666.43534	1
29739.88519	1
21798.9125	1
68568.24408	2
9663.014091	2
35115.47287	1
44003.62154	1
9756.555835	2
16763.44079	2
52787.35017	1
53824.83116	1
33689.03767	1
43932.29772	2
2896.680898	1
60046.12745	1
66323.97912	2
63521.63824	1
35388.03105	1
23156.54577	1
68828.3449	1
25864.03882	2
62742.94339	1
23023.72786	2
35094.08324	1
100542.4585	2
42166.99972	1
31215.14699	1
63185.26936	1
107225.184	1
70621.8646	1
43718.70383	1
18255.1384	1
56202.11206	2
27804.73485	1
95871.97511	2
124362.7897	1
166258.9001	1
87059.00975	1
53475.67194	1
8495.626281	1
16985.21102	1
8244.301998	2
18958.43818	2
25906.35334	1
69968.40511	1
82135.59135	2
11629.69284	1
30217.55675	1
21827.47735	1
31365.33319	1
7030.500566	1
47998.47462	1
20377.7875	2
58474.23601	1
27160.08366	1
25466.74231	2
23637.6198	1
52539.57639	1
20078.28932	2
19032.32146	2
52360.15092	1
17711.33395	1
20526.87973	1
35747.32677	1
49725.32456	1
24896.56489	1
9298.561767	1
27279.53927	1
21740.79359	1
24251.9645	1
